wallet_id,total_tx,total_value,avg_value,total_gas,avg_gas,total_cumulative_gas,avg_cumulative_gas,block_range,nonce_range,active_days
0x4d997c89bc659a3e8452038a8101161e7e7e53a7,252,2.3530780065714237e+19,9.337611137188186e+16,35169109.0,139559.95634920636,1719717917.0,6824277.448412699,7892051,2406054,1270.6581828703704
0x4db0a72edb5ea6c55df929f76e7d5bb14e389860,4,2.365576e+16,5913940000000000.0,365024.0,91256.0,27408380.0,6852095.0,50538,2,7.76
0x4e61251336c32e4fe6bfd5fab014846599321389,4,2.2191884e+16,5547971000000000.0,365024.0,91256.0,25636693.0,6409173.25,1057554,2,162.80391203703704
0x4e6e724f4163b24ffc7ffe662b5f6815b18b4210,4,1.86e+16,4650000000000000.0,421769.0,105442.25,35633120.0,8908280.0,1219112,2,187.46631944444445
0x507b6c0d950702f066a9a1bd5e85206f87b065ba,38,3.948900016833804e+17,1.0391842149562642e+16,2764402.0,72747.42105263157,388016037.0,10210948.342105264,7181513,5574210,1055.106238425926
0x54e19653be9d4143b08994906be0e27555e8834d,6,0.0,0.0,2875000.0,479166.6666666667,20491115.0,3415185.8333333335,210,5,0.032268518518518516
0x56ba823641bfc317afc8459bf27feed6eb9ff59f,4,2.886863e+16,7217157500000000.0,365024.0,91256.0,38105463.0,9526365.75,256305,2,39.35228009259259
0x56cc2bffcb3f86a30c492f9d1a671a1f744d1d2f,4,3.01149208e+16,7528730200000000.0,365024.0,91256.0,20011787.0,5002946.75,833275,2,128.0289236111111
0x578cea5f899b0dfbf05c7fbcfda1a644b2a47787,10,3.7946163911712045e+17,3.794616391171204e+16,491024.0,49102.4,111054736.0,11105473.6,7820953,4658352,1165.4226041666666
0x58c2a9099a03750e9842d3e9a7780cdd6aa70b86,4,2.845545335085414e+16,7113863337713535.0,365024.0,91256.0,32149948.0,8037487.0,976379,2,150.07059027777777
0x58d68d4bcf9725e40353379cec92b90332561683,47,1.1659144403706975e+18,2.4806690220653132e+16,5391713.0,114717.29787234042,494110028.0,10512979.319148935,10299422,4889234,1510.1878125
